time,open,high,low,close,tick_volume,spread,real_volume
2025-06-02 17:00:00+00:00,1.14179,1.14257,1.14158,1.14222,2353,9,0
2025-06-02 18:00:00+00:00,1.14221,1.14421,1.14184,1.14409,2316,9,0
2025-06-02 19:00:00+00:00,1.14407,1.1445,1.14331,1.14446,1839,9,0
2025-06-02 20:00:00+00:00,1.14444,1.14461,1.14395,1.14413,840,9,0
2025-06-02 21:00:00+00:00,1.14412,1.14417,1.14313,1.14398,955,12,0
2025-06-02 22:00:00+00:00,1.144,1.14456,1.14379,1.14447,762,9,0
2025-06-02 23:00:00+00:00,1.14447,1.14535,1.14443,1.14528,1136,9,0
2025-06-03 00:00:00+00:00,1.14527,1.14544,1.14384,1.14432,2027,9,0
2025-06-03 01:00:00+00:00,1.1443,1.14432,1.14266,1.14277,2812,9,0
2025-06-03 02:00:00+00:00,1.1428,1.14301,1.14185,1.14254,2298,9,0
2025-06-03 03:00:00+00:00,1.14253,1.1427100000000001,1.14156,1.14195,1848,9,0
2025-06-03 04:00:00+00:00,1.14195,1.14252,1.14166,1.14248,1432,9,0
2025-06-03 05:00:00+00:00,1.14248,1.1427100000000001,1.14118,1.14215,2041,9,0
2025-06-03 06:00:00+00:00,1.14218,1.14308,1.1415,1.14285,3187,9,0
2025-06-03 07:00:00+00:00,1.14284,1.1432,1.14136,1.14158,3790,9,0
2025-06-03 08:00:00+00:00,1.14157,1.1418300000000001,1.14052,1.14113,3226,9,0
2025-06-03 09:00:00+00:00,1.14114,1.14177,1.14013,1.14115,3002,9,0
2025-06-03 10:00:00+00:00,1.14117,1.14123,1.1396,1.13975,2823,9,0
2025-06-03 11:00:00+00:00,1.1397599999999999,1.13989,1.13861,1.13901,3113,9,0
2025-06-03 12:00:00+00:00,1.13904,1.13938,1.13767,1.13814,3416,9,0
2025-06-03 13:00:00+00:00,1.13816,1.13946,1.13765,1.13879,4449,9,0
2025-06-03 14:00:00+00:00,1.13875,1.13929,1.13636,1.13913,6297,9,0
2025-06-03 15:00:00+00:00,1.13914,1.13926,1.13702,1.13718,3647,9,0
2025-06-03 16:00:00+00:00,1.1372,1.13829,1.13672,1.13729,2622,9,0
2025-06-03 17:00:00+00:00,1.13731,1.13814,1.1372200000000001,1.13779,1887,9,0
2025-06-03 18:00:00+00:00,1.13777,1.13777,1.13685,1.13745,1605,9,0
2025-06-03 19:00:00+00:00,1.13744,1.13758,1.13672,1.13685,1206,9,0
2025-06-03 20:00:00+00:00,1.13684,1.13738,1.13679,1.13695,738,9,0
2025-06-03 21:00:00+00:00,1.13693,1.13745,1.13635,1.13744,724,24,0
2025-06-03 22:00:00+00:00,1.13761,1.13762,1.13704,1.13739,692,9,0
2025-06-03 23:00:00+00:00,1.13739,1.13856,1.13739,1.13839,1132,9,0
2025-06-04 00:00:00+00:00,1.13837,1.13886,1.13779,1.13823,2485,9,0
2025-06-04 01:00:00+00:00,1.13822,1.13928,1.13711,1.13855,3153,9,0
2025-06-04 02:00:00+00:00,1.13852,1.13878,1.13733,1.13758,1742,9,0
2025-06-04 03:00:00+00:00,1.13758,1.13806,1.13651,1.1367099999999999,1733,9,0
2025-06-04 04:00:00+00:00,1.13673,1.13787,1.13644,1.13664,1979,9,0
2025-06-04 05:00:00+00:00,1.13666,1.13713,1.13567,1.13619,2466,9,0
2025-06-04 06:00:00+00:00,1.13619,1.13779,1.13571,1.13777,3839,9,0
2025-06-04 07:00:00+00:00,1.13778,1.1396600000000001,1.13751,1.13864,3771,9,0
2025-06-04 08:00:00+00:00,1.13863,1.14035,1.13825,1.1399,2991,9,0
2025-06-04 09:00:00+00:00,1.1399,1.13992,1.13809,1.13825,2528,9,0
2025-06-04 10:00:00+00:00,1.13826,1.13853,1.13743,1.13818,2517,9,0
2025-06-04 11:00:00+00:00,1.13818,1.13869,1.13768,1.13788,2197,9,0
2025-06-04 12:00:00+00:00,1.13789,1.14109,1.13789,1.1409,5590,9,0
2025-06-04 13:00:00+00:00,1.14091,1.14133,1.13925,1.13995,3978,9,0
2025-06-04 14:00:00+00:00,1.13994,1.1434199999999999,1.13994,1.14321,5738,9,0
2025-06-04 15:00:00+00:00,1.1432,1.14334,1.14166,1.14231,3945,9,0
2025-06-04 16:00:00+00:00,1.14231,1.1434,1.14193,1.14326,2728,9,0
2025-06-04 17:00:00+00:00,1.14328,1.1433200000000001,1.14228,1.14246,1883,9,0
2025-06-04 18:00:00+00:00,1.1424400000000001,1.14278,1.14196,1.14201,1696,9,0
2025-06-04 19:00:00+00:00,1.14201,1.14216,1.14119,1.1412,1468,9,0
2025-06-04 20:00:00+00:00,1.1412,1.14223,1.14097,1.14178,1184,9,0
2025-06-04 21:00:00+00:00,1.14175,1.1418,1.1413,1.1417,784,12,0
2025-06-04 22:00:00+00:00,1.1417,1.14225,1.14167,1.14193,677,9,0
2025-06-04 23:00:00+00:00,1.14196,1.14283,1.14185,1.14206,1093,9,0
2025-06-05 00:00:00+00:00,1.14208,1.14291,1.14161,1.14286,2552,9,0
2025-06-05 01:00:00+00:00,1.14288,1.14345,1.14133,1.14162,2708,9,0
2025-06-05 02:00:00+00:00,1.1416,1.14191,1.141,1.14172,1834,9,0
2025-06-05 03:00:00+00:00,1.14173,1.14224,1.14083,1.14103,2147,9,0
2025-06-05 04:00:00+00:00,1.14103,1.14141,1.14075,1.14097,1786,9,0
2025-06-05 05:00:00+00:00,1.141,1.14132,1.14043,1.1406,1964,9,0
2025-06-05 06:00:00+00:00,1.14059,1.14168,1.14051,1.14087,2645,9,0
2025-06-05 07:00:00+00:00,1.14086,1.14248,1.14065,1.14116,3068,9,0
2025-06-05 08:00:00+00:00,1.14119,1.1419,1.14086,1.14128,2729,9,0
2025-06-05 09:00:00+00:00,1.14128,1.14213,1.14091,1.14181,2707,9,0
2025-06-05 10:00:00+00:00,1.14178,1.14324,1.1417,1.14239,2508,9,0
2025-06-05 11:00:00+00:00,1.14237,1.1428099999999999,1.14158,1.14255,2710,9,0
2025-06-05 12:00:00+00:00,1.14254,1.14482,1.14132,1.1429,8676,9,0
2025-06-05 13:00:00+00:00,1.14292,1.14947,1.14178,1.14801,12072,9,0
2025-06-05 14:00:00+00:00,1.1480299999999999,1.14819,1.14539,1.14579,8317,9,0
2025-06-05 15:00:00+00:00,1.1457600000000001,1.14584,1.14348,1.1439,5591,9,0
2025-06-05 16:00:00+00:00,1.14392,1.14476,1.14313,1.14476,3761,9,0
2025-06-05 17:00:00+00:00,1.14477,1.1448,1.1431499999999999,1.14428,2455,9,0
2025-06-05 18:00:00+00:00,1.14426,1.14438,1.14306,1.14415,2356,9,0
2025-06-05 19:00:00+00:00,1.14416,1.14477,1.14333,1.1437599999999999,3088,9,0
2025-06-05 20:00:00+00:00,1.14374,1.14446,1.14348,1.14431,1290,9,0
2025-06-05 21:00:00+00:00,1.1443,1.14455,1.14398,1.14429,698,20,0
2025-06-05 22:00:00+00:00,1.14435,1.1451500000000001,1.14432,1.14511,865,9,0
2025-06-05 23:00:00+00:00,1.14513,1.14535,1.14463,1.14531,1039,9,0
2025-06-06 00:00:00+00:00,1.14531,1.14568,1.14494,1.14497,1825,9,0
2025-06-06 01:00:00+00:00,1.14495,1.1452,1.14411,1.14423,1885,9,0
2025-06-06 02:00:00+00:00,1.14424,1.14432,1.14328,1.14375,1709,9,0
2025-06-06 03:00:00+00:00,1.14375,1.14435,1.14357,1.14399,1362,9,0
2025-06-06 04:00:00+00:00,1.14399,1.1442,1.14367,1.14394,1102,9,0
2025-06-06 05:00:00+00:00,1.1439300000000001,1.144,1.14304,1.14357,1559,9,0
2025-06-06 06:00:00+00:00,1.14356,1.14421,1.1424400000000001,1.14353,2760,9,0
2025-06-06 07:00:00+00:00,1.14351,1.14364,1.14211,1.14264,3323,9,0
2025-06-06 08:00:00+00:00,1.14263,1.14289,1.14111,1.14145,2949,9,0
2025-06-06 09:00:00+00:00,1.14144,1.14208,1.14105,1.14189,2336,9,0
2025-06-06 10:00:00+00:00,1.14191,1.14241,1.1417,1.14223,2146,9,0
2025-06-06 11:00:00+00:00,1.14225,1.14284,1.14167,1.14177,2311,9,0
2025-06-06 12:00:00+00:00,1.14177,1.14303,1.13857,1.13962,8695,8,0
2025-06-06 13:00:00+00:00,1.13961,1.1402,1.13714,1.13899,7891,9,0
2025-06-06 14:00:00+00:00,1.13901,1.1416,1.13805,1.1389,7002,9,0
2025-06-06 15:00:00+00:00,1.13889,1.14018,1.13806,1.13965,4934,9,0
2025-06-06 16:00:00+00:00,1.13964,1.14013,1.13858,1.13869,3200,9,0
2025-06-06 17:00:00+00:00,1.1387,1.13975,1.13843,1.13925,2496,9,0
2025-06-06 18:00:00+00:00,1.13927,1.13991,1.13922,1.13967,2142,9,0
2025-06-06 19:00:00+00:00,1.13968,1.14016,1.13923,1.13959,1615,9,0
2025-06-06 20:00:00+00:00,1.13956,1.13974,1.1391,1.1394199999999999,914,9,0
