time,open,high,low,close,tick_volume,spread,real_volume
2023-08-21 00:00:00+00:00,0.88233,0.88275,0.88127,0.88207,4809,9,0
2023-08-21 04:00:00+00:00,0.88207,0.88245,0.87915,0.87915,7290,9,0
2023-08-21 08:00:00+00:00,0.87915,0.88053,0.87885,0.87916,9421,9,0
2023-08-21 12:00:00+00:00,0.87917,0.88139,0.8787,0.87994,12216,9,0
2023-08-21 16:00:00+00:00,0.87994,0.87997,0.87796,0.87827,4905,9,0
2023-08-21 20:00:00+00:00,0.87825,0.87872,0.87728,0.87849,1576,9,0
2023-08-22 00:00:00+00:00,0.87851,0.87906,0.87716,0.87739,5126,9,0
2023-08-22 04:00:00+00:00,0.87738,0.87823,0.87692,0.8776,7020,9,0
2023-08-22 08:00:00+00:00,0.87757,0.87841,0.87646,0.87798,9086,9,0
2023-08-22 12:00:00+00:00,0.878,0.8809,0.87782,0.87997,15089,9,0
2023-08-22 16:00:00+00:00,0.88,0.88063,0.87944,0.88051,5263,9,0
2023-08-22 20:00:00+00:00,0.88048,0.88052,0.87898,0.88011,1621,9,0
2023-08-23 00:00:00+00:00,0.88011,0.88073,0.87957,0.87977,4777,9,0
2023-08-23 04:00:00+00:00,0.87977,0.88146,0.87784,0.88034,8994,9,0
2023-08-23 08:00:00+00:00,0.88036,0.88169,0.87902,0.88107,11658,9,0
2023-08-23 12:00:00+00:00,0.88107,0.8814,0.87746,0.87851,16677,9,0
2023-08-23 16:00:00+00:00,0.87851,0.879,0.87734,0.87771,6190,9,0
2023-08-23 20:00:00+00:00,0.87773,0.87823,0.87645,0.8774,2511,9,0
2023-08-24 00:00:00+00:00,0.8774,0.87802,0.8764,0.87716,5027,9,0
2023-08-24 04:00:00+00:00,0.87714,0.87961,0.87596,0.87939,7526,9,0
2023-08-24 08:00:00+00:00,0.87939,0.88177,0.87875,0.88172,9159,9,0
2023-08-24 12:00:00+00:00,0.88174,0.88385,0.88065,0.88255,13919,9,0
2023-08-24 16:00:00+00:00,0.88253,0.8851,0.88245,0.88489,5211,9,0
2023-08-24 20:00:00+00:00,0.8849,0.88546,0.88288,0.8852,1976,9,0
2023-08-25 00:00:00+00:00,0.88523,0.88636,0.88475,0.88628,4506,9,0
2023-08-25 04:00:00+00:00,0.88628,0.88682,0.88503,0.88657,6768,9,0
2023-08-25 08:00:00+00:00,0.88657,0.88683,0.88485,0.8851,7614,9,0
2023-08-25 12:00:00+00:00,0.88509,0.88758,0.88213,0.88598,17805,9,0
2023-08-25 16:00:00+00:00,0.88598,0.88599,0.8834,0.88404,7174,9,0
2023-08-25 20:00:00+00:00,0.88404,0.88473,0.88398,0.88446,901,9,0
2023-08-27 20:00:00+00:00,0.88376,0.88508,0.88305,0.88477,1483,14,0
2023-08-28 00:00:00+00:00,0.8848,0.88488,0.88315,0.88337,4963,9,0
2023-08-28 04:00:00+00:00,0.88337,0.88353,0.88179,0.88335,6329,9,0
2023-08-28 08:00:00+00:00,0.88335,0.88471,0.88279,0.8846,7864,9,0
2023-08-28 12:00:00+00:00,0.88461,0.88532,0.88308,0.88315,10514,9,0
2023-08-28 16:00:00+00:00,0.88315,0.88434,0.88304,0.88358,4670,9,0
2023-08-28 20:00:00+00:00,0.88357,0.88389,0.88232,0.88345,2017,9,0
2023-08-29 00:00:00+00:00,0.88347,0.88347,0.88255,0.88277,4103,9,0
2023-08-29 04:00:00+00:00,0.88275,0.88501,0.88275,0.88383,6375,9,0
2023-08-29 08:00:00+00:00,0.88382,0.8856,0.88362,0.88509,7657,9,0
2023-08-29 12:00:00+00:00,0.88507,0.88583,0.87902,0.87979,15996,9,0
2023-08-29 16:00:00+00:00,0.87982,0.88022,0.87744,0.87775,7336,9,0
2023-08-29 20:00:00+00:00,0.87776,0.87894,0.87707,0.87892,2302,9,0
2023-08-30 00:00:00+00:00,0.87894,0.87919,0.87843,0.87869,5230,9,0
2023-08-30 04:00:00+00:00,0.87869,0.87993,0.87839,0.87953,7135,9,0
2023-08-30 08:00:00+00:00,0.87952,0.8803,0.87875,0.87924,10491,9,0
2023-08-30 12:00:00+00:00,0.87924,0.87951,0.87443,0.87714,17316,9,0
2023-08-30 16:00:00+00:00,0.87712,0.87877,0.87712,0.8786,5516,9,0
2023-08-30 20:00:00+00:00,0.8786,0.87863,0.87765,0.87805,1937,9,0
2023-08-31 00:00:00+00:00,0.87807,0.87841,0.87709,0.87833,4849,9,0
2023-08-31 04:00:00+00:00,0.87833,0.88033,0.87824,0.88007,7504,9,0
2023-08-31 08:00:00+00:00,0.88006,0.88244,0.87987,0.88143,10311,9,0
2023-08-31 12:00:00+00:00,0.88141,0.88457,0.88077,0.88372,18680,9,0
2023-08-31 16:00:00+00:00,0.88371,0.88383,0.88233,0.8833,5605,9,0
2023-08-31 20:00:00+00:00,0.88328,0.88362,0.88202,0.88327,2086,9,0
2023-09-01 00:00:00+00:00,0.88329,0.8839,0.88226,0.88351,5022,9,0
2023-09-01 04:00:00+00:00,0.88351,0.88435,0.88121,0.88176,6606,9,0
2023-09-01 08:00:00+00:00,0.88174,0.88339,0.8815,0.88333,7328,9,0
2023-09-01 12:00:00+00:00,0.88333,0.8858,0.87948,0.88576,22711,9,0
2023-09-01 16:00:00+00:00,0.88576,0.88634,0.88503,0.88588,4513,9,0
2023-09-01 20:00:00+00:00,0.88589,0.88591,0.8855,0.88571,567,9,0
2023-09-03 20:00:00+00:00,0.88453,0.88568,0.88427,0.88518,958,14,0
2023-09-04 00:00:00+00:00,0.88518,0.88553,0.884,0.8846,3588,9,0
2023-09-04 04:00:00+00:00,0.8846,0.88515,0.8832,0.88406,6018,9,0
2023-09-04 08:00:00+00:00,0.88407,0.88471,0.88335,0.88372,7064,9,0
2023-09-04 12:00:00+00:00,0.88374,0.8854,0.88356,0.88416,5202,9,0
2023-09-04 16:00:00+00:00,0.88416,0.88488,0.88363,0.88454,2055,9,0
2023-09-04 20:00:00+00:00,0.88454,0.88477,0.88363,0.88477,1472,9,0
2023-09-05 00:00:00+00:00,0.88479,0.88566,0.88437,0.88509,4084,9,0
2023-09-05 04:00:00+00:00,0.88509,0.88772,0.88485,0.88747,7523,9,0
2023-09-05 08:00:00+00:00,0.88745,0.88956,0.88727,0.88895,8063,9,0
