symbol,direction,entry_time,session,profit_usd,is_win,RSI_M15,RSI_H1,RSI_H4,ADX,ATR,hour
GBPUSD,BUY,2025-12-01T00:00:00+00:00,ASIA,-2.2100000000000453,0,53.797951927415646,54.96091797970724,57.71294876878764,17.934834297430193,0.0015221743994542167,0
US100,BUY,2025-12-01T00:00:00+00:00,ASIA,5.000000000000036,1,61.79009420438943,80.05133389844526,72.53387803231966,28.351556736737432,46.985678566741576,0
AUDUSD,BUY,2025-12-01T00:00:00+00:00,ASIA,4.999999999999893,1,56.77935441665597,61.430782442573005,65.91130431842257,30.878332326064417,0.0008881856549336706,0
EURUSD,BUY,2025-12-02T13:00:00+00:00,OVERLAP_EU_US,4.999999999999893,1,62.32047342427131,57.43968276351922,56.53210663906611,11.68186436087825,0.0008780053071959154,13
NZDUSD,BUY,2025-12-01T00:00:00+00:00,ASIA,4.999999999999893,1,57.73901723909158,61.63932961143414,65.3486308981775,29.911607131909967,0.0007612008947278465,0
USDCHF,SELL,2025-12-03T03:00:00+00:00,ASIA,6.2517756724955165,1,30.62385843771681,29.756410498894578,42.41096139161076,25.85203288677601,0.0007030718383187308,3
USDJPY,SELL,2025-12-03T15:00:00+00:00,OVERLAP_EU_US,2.9419515199485082,1,42.4855109862619,33.141167325839035,38.504707747714875,30.68584673958081,0.15863794712028698,15
US100,BUY,2025-12-02T15:00:00+00:00,OVERLAP_EU_US,5.000000000000036,1,76.83639309233843,73.60950413735529,65.16965479149242,17.07011456174962,61.15595242393609,15
GBPUSD,BUY,2025-12-03T15:00:00+00:00,OVERLAP_EU_US,4.999999999999893,1,69.81885492858824,85.84779841705239,67.92630880976746,34.8533072790294,0.0014690105187629525,15
GBPUSD,BUY,2025-12-04T12:00:00+00:00,EUROPE,5.0000000000001155,1,65.8988521123921,77.69239014860642,72.61464958504078,48.04294922516085,0.0012748814980403204,12
AUDUSD,BUY,2025-12-03T18:00:00+00:00,US,5.000000000000004,1,58.407642506501006,65.57345085295374,73.42198621581066,17.8966080356189,0.0008745323081801986,18
USDCAD,SELL,2025-12-05T16:00:00+00:00,US,3.6139246267182714,1,16.952305368838694,12.02655340169681,24.522333847096565,29.613057397569786,0.0013148653882621498,16
GBPUSD,BUY,2025-12-04T15:00:00+00:00,OVERLAP_EU_US,-6.1798488880489,0,66.22828769270811,71.44878012971164,72.61464958504078,46.96763709169523,0.0015701511119513875,15
USDCAD,SELL,2025-12-08T01:00:00+00:00,ASIA,-0.354297117901317,0,37.85951941812466,23.19864952495695,26.90052031290932,53.408816436133996,0.0013915444264290578,1
AUDUSD,BUY,2025-12-05T18:00:00+00:00,US,-1.2900000000000134,0,55.187375806136075,64.30825119826464,77.26903566900806,34.81723173957083,0.0007931216951959548,18
XAUUSD,SELL,2025-12-08T16:00:00+00:00,US,5.0,1,35.223650653286875,34.40677972533746,41.82041798613766,14.98422446718606,12.833833490056284,16
USDCHF,BUY,2025-12-08T20:00:00+00:00,US,-0.8090950493000572,0,51.75821694762752,64.47609722484772,61.920568754218884,28.023825842903236,0.0009023369378270725,20
XAUUSD,BUY,2025-12-09T21:00:00+00:00,US,5.0,1,55.26478358899763,58.50540883935581,54.08163216526999,14.495463471319894,11.655455388158959,21
