symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio,f_is_buy,f_hour_sin,f_hour_cos,f_adx_x_atrratio,f_rsi_align,f_rsi_extreme,f_trendiness,f_h4_bias_agree,f_asset_class
BTCUSD,SELL,2025-08-21 15:00:00+00:00,2025-08-21 15:30:00+00:00,113255.81,112984.75142857143,2.637675128571413,0.5,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.02404039313748187,1.4722649696619245,-2.8810225143630888,-16.180326689609892,21.066056994865054,44.90987439149219,44.90987439149219,42.91995749780457,34.92486570657141,21.066056994865054,542.1171428571428,-9.985008684920778,0.004786660771373608,15,4,7.0800425021954325,11420.27062932197,0.0,-0.7071067811865471,-0.7071067811865479,31.01481776244137,1.0,5.090125608507812,0.5064362920131558,1.0,1.0
XAUUSD,SELL,2025-08-21 14:00:00+00:00,2025-08-21 18:00:00+00:00,3339.367,3335.710392857143,3.3706373214288394,4.0,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.2976720793217509,1.759680898921944,-2.8892849003089864,-7.644290044608525,37.58499598655667,50.56208123925714,50.56208123925714,51.52779547625328,46.975867907759,37.58499598655667,6.6854999999999825,-3.5862133314981364,0.0020020261324975607,14,4,1.5277954762532815,251.27449066812397,0.0,-0.4999999999999997,-0.8660254037844388,66.1375995236017,1.0,0.5620812392571395,11.188003906617986,1.0,0.0
BTCUSD,SELL,2025-08-21 18:00:00+00:00,2025-08-21 20:00:00+00:00,112372.38,112096.19499999999,2.6888881500001225,2.0,0,TRAILING_BE_EXIT,US,0.5580814187827581,1.4241043200321177,0.16570364198256016,5.852748613297976,26.05874015100732,35.83104067262019,35.83104067262019,33.530612070331316,33.1219092430444,26.05874015100732,511.403571428571,-2.709131429575791,0.004550972146612637,18,2,16.469387929668684,13326.532780154244,0.0,-1.0,-1.8369701987210297e-16,37.11036442364392,1.0,14.16895932737981,14.54289867516539,1.0,1.0
XAUUSD,SELL,2025-08-21 19:00:00+00:00,2025-08-22 00:15:00+00:00,3339.33,3335.997035714285,3.047965392857609,5.25,0,TRAILING_BE_EXIT,US,0.1877155891843834,0.7522976165340434,2.625770173329606,4.457165395666976,28.225363433475568,48.59152374693128,48.59152374693128,50.63238504184961,53.414793804614135,28.225363433475568,7.306500000000012,4.823270057682855,0.002188013763239935,19,2,0.6323850418496093,206.2286179266896,0.0,-0.9659258262890684,0.2588190451025203,21.233873636810813,-1.0,1.40847625306872,5.298340726858218,0.0,0.0
XAUUSD,SELL,2025-08-22 01:00:00+00:00,2025-08-22 01:30:00+00:00,3339.56,3336.20925,3.065697750000062,0.5,0,TRAILING_BE_EXIT,ASIA,0.07171492204901266,0.5912760779486698,1.7498058453569172,12.515705539844362,19.191434493564543,52.36137402776662,52.36137402776662,51.182808983353645,50.00100399242635,19.191434493564543,6.701500000000026,-2.3603700353402743,0.0020067014816323187,1,0,1.1828089833536453,128.6113982586233,0.0,0.25881904510252074,0.9659258262890683,11.347436117563658,1.0,2.3613740277666224,1.3763122287147138,0.0,0.0
BTCUSD,SELL,2025-08-21 20:00:00+00:00,2025-08-22 08:00:00+00:00,112144.97,113053.49,-9.158062782142899,12.0,0,12H_ML_CUT,US,0.044126268797989365,1.0773320569470535,-4.254134529077497,-6.857406362987724,29.45902407792128,37.08381430363382,37.08381430363382,32.95674865238841,30.051335036817648,29.45902407792128,552.3700000000006,-7.032479266816175,0.004925499556511545,20,2,17.043251347611587,16272.281129921395,0.0,-0.8660254037844386,0.5000000000000001,31.73715100551971,1.0,12.916185696366178,1.2999168149887952,1.0,1.0
XAUUSD,BUY,2025-08-22 02:00:00+00:00,2025-08-22 12:45:00+00:00,3334.101,3324.302,-10.08055382142855,10.75,0,SOFT_ATR_STOP,ASIA,0.28416103438139345,0.725129267979972,-7.698905262181029,-13.37134927233695,16.824533900390428,36.46970479036165,36.46970479036165,43.48390372117262,50.00100399242635,16.824533900390428,6.15978571428572,13.531299202064702,0.0018475102326791298,2,0,6.5160962788273835,103.63552356914076,1.0,0.49999999999999994,0.8660254037844387,12.199961951294334,1.0,13.530295209638354,4.780876956119764,1.0,0.0
BTCUSD,SELL,2025-08-22 08:00:00+00:00,2025-08-22 12:45:00+00:00,113053.49,112201.96257142856,8.442742650000119,4.75,0,TRAILING_BE_EXIT,OVERLAP_ASIA_EU,0.12701468926554516,0.8785842231569304,1.6745606144718082,-1.7143621019172244,22.326470013976984,51.832412466372475,51.832412466372475,50.40941536798012,39.3725492976686,22.326470013976984,532.5564285714302,-12.459863168703876,0.004710658897584056,8,3,0.4094153679801167,11890.10513325071,0.0,0.8660254037844387,-0.4999999999999998,19.61568431306647,1.0,1.8324124663724746,2.8357896512217984,1.0,1.0
XAUUSD,SELL,2025-08-22 14:00:00+00:00,2025-08-22 14:15:00+00:00,3333.702,3358.89,-25.47137717857108,0.25,0,SOFT_ATR_STOP,OVERLAP_EU_US,0.2513030746705835,1.1958189498957044,16.953861683826858,23.970394721122624,32.83087800909716,61.46882791413767,61.46882791413767,50.55698878011158,44.60095913925825,32.83087800909716,5.584785714285739,-16.86786877487942,0.001675250431587988,14,4,0.5569887801115811,183.35341849266365,0.0,-0.4999999999999997,-0.8660254037844388,39.25978606499254,1.0,11.46882791413767,8.250500587820962,1.0,0.0
BTCUSD,BUY,2025-08-22 19:00:00+00:00,2025-08-23 07:00:00+00:00,116792.93,115710.49,-10.897232021428449,12.0,0,12H_ML_CUT,US,0.14725654034771432,1.2210269629477877,-2.58018943968176,-10.393137232498987,32.57038068209877,65.15908261386461,65.15908261386461,74.74481578371811,60.89900187381459,32.57038068209877,884.4592857142883,-4.260080740050022,0.007572883784269205,19,2,24.74481578371811,28807.175633531533,1.0,-0.9659258262890684,0.2588190451025203,39.76931300631636,1.0,15.159082613864612,4.796201577053893,1.0,1.0
