symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio,f_is_buy,f_hour_sin,f_hour_cos,f_adx_x_atrratio,f_rsi_align,f_rsi_extreme,f_trendiness,f_h4_bias_agree,f_asset_class
XAUUSD,BUY,2023-08-22 05:00:00+00:00,2023-08-22 08:30:00+00:00,1893.915,1899.4650571428572,10.543204428571569,3.5,0,TRAILING_BE_EXIT,ASIA,0.32923692483567757,1.080511450213129,-2.9906911853371483,-14.66213396412946,16.692694320486662,41.90536812668175,41.90536812668175,37.10553157232066,20.659581271152547,16.692694320486662,2.483142857142866,-21.245786855529204,0.00131111631574958,5,0,12.894468427679342,41.450344668385746,1.0,0.9659258262890683,0.25881904510252074,18.036647348193505,1.0,8.09463187331825,5.495851345299009,0.0,0.0
US30,SELL,2023-08-22 04:00:00+00:00,2023-08-22 09:45:00+00:00,34461.5,34560.9,-9.581590928571561,5.75,0,SOFT_ATR_STOP,ASIA,0.14480408858603785,0.5130615400299355,1.3924596716573276,-0.27452964179401107,26.54375358582223,53.56669857854848,53.56669857854848,41.9687230239074,74.78988710010182,26.54375358582223,75.00714285714328,21.22318852155334,0.0021765489853065967,4,0,8.031276976092599,1990.9711171765773,0.0,0.8660254037844386,0.5000000000000001,13.618579092917077,-1.0,3.5666985785484826,3.843644045647362,0.0,2.0
XAUUSD,SELL,2023-08-22 09:00:00+00:00,2023-08-22 14:15:00+00:00,1899.921,1893.3964285714287,12.487711785714097,5.25,0,TRAILING_BE_EXIT,EUROPE,0.007186440677981369,1.3568369883738514,-2.7358393048326093,-4.823121414150016,35.56073435452143,59.36643338001401,59.36643338001401,49.400418229651436,29.457888164144876,35.56073435452143,2.3745714285714388,-29.908545215869133,0.0012498264025564425,9,1,0.5995817703485642,84.4415037772654,0.0,0.7071067811865476,-0.7071067811865475,48.250119705951406,-1.0,9.366433380014008,0.2555551079042223,1.0,0.0
NZDUSD,SELL,2023-08-22 15:00:00+00:00,2023-08-22 19:45:00+00:00,0.59408,0.5933689285714286,1.9642743371427753,4.75,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.284046692606996,1.45249487354751,7.618407097391639,7.191590402227789,48.90421683848349,45.3893158371706,45.3893158371706,47.439294047794775,79.57242812808026,48.90421683848349,0.0015657142857142734,34.18311229090966,0.0026355276826593613,15,4,2.5607059522052253,0.07657003093568213,0.0,-0.7071067811865471,-0.7071067811865479,71.0331242527531,1.0,4.610684162829401,13.891081047506598,0.0,3.0
US30,SELL,2023-08-22 16:00:00+00:00,2023-08-23 04:00:00+00:00,34346.5,34384.1,-4.4680464285712835,12.0,0,12H_ML_CUT,US,0.5141369047619162,1.7177104037773991,-2.432168738691317,5.09424817553645,38.37885040596243,30.13900326182076,30.13900326182076,32.49741232341064,63.779606663254384,38.37885040596243,54.67142857142868,33.64060340143362,0.00159176127324265,16,2,17.502587676589357,2098.2265786231214,0.0,-0.8660254037844385,-0.5000000000000004,65.92375062733812,1.0,19.86099673817924,19.731983356042136,0.0,2.0
USDJPY,BUY,2023-08-22 20:00:00+00:00,2023-08-23 05:30:00+00:00,145.88,145.614,-9.999598056701466,9.5,0,SOFT_ATR_STOP,US,0.4576271186439943,0.6431002968154832,0.9224195659198244,-0.6324398453580642,35.30914854586609,54.32851100471157,54.32851100471157,58.1335718989015,68.06348528083986,35.30914854586609,0.18385714285714375,13.734974276128284,0.0012603313878334504,20,2,8.1335718989015,6.491839168361411,1.0,-0.8660254037844386,0.5000000000000001,22.707323910148467,1.0,4.328511004711572,16.15842391081748,1.0,3.0
XAUUSD,SELL,2023-08-23 06:00:00+00:00,2023-08-23 11:00:00+00:00,1902.579,1901.559392857143,2.2246449642853223,5.0,0,TRAILING_BE_EXIT,ASIA,0.3353551476456511,0.7454417352303429,-2.049746412431375,-12.295162074202047,27.600575351183245,60.4944454726053,60.4944454726053,57.435402975294814,34.280764298333864,27.600575351183245,1.8165714285714298,-26.213681174271436,0.0009547942180437342,6,0,7.435402975294814,50.138416595092345,0.0,1.0,6.123233995736766e-17,20.574620783141867,1.0,10.4944454726053,9.255995022000976,1.0,0.0
XAUUSD,BUY,2023-08-23 11:00:00+00:00,2023-08-23 13:00:00+00:00,1903.224,1905.2974571428572,5.384340642857466,2.0,0,TRAILING_BE_EXIT,EUROPE,0.09377504675393915,1.1780624568038565,1.6213548736648136,4.8399252010283575,45.42644942164653,52.52706009276452,52.52706009276452,57.75915307552065,37.594924620859324,45.42644942164653,2.0392142857142352,-14.932135471905198,0.001071452590821803,11,1,7.759153075520651,92.63426460989676,1.0,0.258819045102521,-0.9659258262890682,53.515194609541034,1.0,2.527060092764522,4.259867418380355,0.0,0.0
US30,SELL,2023-08-23 04:00:00+00:00,2023-08-23 13:30:00+00:00,34384.1,34351.90571428571,2.5131864285714367,9.5,0,TRAILING_BE_EXIT,ASIA,0.15883668903798326,0.458953053371968,-0.7183285870102765,1.9600647320049305,30.20485236791479,59.11794988385248,59.11794988385248,45.27565628736562,64.23678332871374,30.20485236791479,60.46428571428675,5.118833444861259,0.0017584955172386875,4,0,4.724343712634379,1826.3148235314507,0.0,0.8660254037844386,0.5000000000000001,13.86260922090401,-1.0,9.117949883852482,4.7976387430006735,0.0,2.0
US30,BUY,2023-08-23 16:00:00+00:00,2023-08-23 16:45:00+00:00,34450.0,34476.62857142857,1.9555314285712413,0.75,0,TRAILING_BE_EXIT,US,0.46103569632981284,1.522814220397466,1.7226060780095267,-0.22575835849585246,40.56071079607066,61.0727622275384,61.0727622275384,56.3704171036841,65.5985833374055,40.56071079607066,53.257142857142235,4.525821109867103,0.0015459257723408487,16,2,6.3704171036840975,2160.1475692535664,1.0,-0.8660254037844385,-0.5000000000000004,61.76642718968542,1.0,11.072762227538398,18.699935545498594,1.0,2.0
