symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session
XAUUSD,BUY,2023-08-22 05:00:00+00:00,2023-08-22 08:30:00+00:00,1893.915,1899.4650571428572,10.543204428571569,3.5,0,TRAILING_BE_EXIT,
XAUUSD,SELL,2023-08-22 09:00:00+00:00,2023-08-22 14:15:00+00:00,1899.921,1893.3964285714287,12.487711785714097,5.25,0,TRAILING_BE_EXIT,
US30,SELL,2023-08-22 04:00:00+00:00,2023-08-22 16:00:00+00:00,34461.5,34346.5,44.38583871428584,12.0,2,12H_ML_CUT,
NZDUSD,SELL,2023-08-22 15:00:00+00:00,2023-08-22 19:45:00+00:00,0.59408,0.5933689285714286,1.9642743371427753,4.75,0,TRAILING_BE_EXIT,
US30,SELL,2023-08-22 16:00:00+00:00,2023-08-23 04:00:00+00:00,34346.5,34384.1,-4.4680464285712835,12.0,0,12H_ML_CUT,
NZDUSD,SELL,2023-08-22 20:00:00+00:00,2023-08-23 08:00:00+00:00,0.59421,0.59444,5.439984262857237,12.0,1,12H_ML_CUT,
XAUUSD,SELL,2023-08-23 08:00:00+00:00,2023-08-23 11:00:00+00:00,1903.587,1902.567392857143,2.9661932857137634,3.0,0,TRAILING_BE_EXIT,
XAUUSD,BUY,2023-08-23 11:00:00+00:00,2023-08-23 13:00:00+00:00,1903.224,1905.2974571428572,5.384340642857466,2.0,0,TRAILING_BE_EXIT,
US30,SELL,2023-08-23 04:00:00+00:00,2023-08-23 13:30:00+00:00,34384.1,34351.90571428571,2.5131864285714367,9.5,0,TRAILING_BE_EXIT,
USDJPY,SELL,2023-08-23 13:00:00+00:00,2023-08-23 19:15:00+00:00,145.475,144.8448857142857,20.881780756202026,6.25,0,TRAILING_BE_EXIT,
USDJPY,SELL,2023-08-23 20:00:00+00:00,2023-08-24 01:00:00+00:00,144.865,144.75150000000002,2.4406515994649514,5.0,0,TRAILING_BE_EXIT,
US30,SELL,2023-08-23 14:00:00+00:00,2023-08-24 02:00:00+00:00,34369.4,34484.8,-12.714420000000874,12.0,2,12H_ML_CUT,
US30,BUY,2023-08-24 02:00:00+00:00,2023-08-24 07:15:00+00:00,34484.8,34518.81428571428,2.6946464285706804,5.25,0,TRAILING_BE_EXIT,
XAUUSD,SELL,2023-08-24 01:00:00+00:00,2023-08-24 13:00:00+00:00,1918.577,1914.3854857142858,7.825949857142726,12.0,0,TRAILING_BE_EXIT,
US30,BUY,2023-08-24 08:00:00+00:00,2023-08-24 13:45:00+00:00,34479.4,34501.33214285714,1.486827857142774,5.75,0,TRAILING_BE_EXIT,
XAUUSD,SELL,2023-08-24 13:00:00+00:00,2023-08-25 01:00:00+00:00,1914.949,1915.477,-1.6142671428571829,12.0,0,12H_ML_CUT,
NZDUSD,SELL,2023-08-24 14:00:00+00:00,2023-08-25 02:00:00+00:00,0.59363,0.59171,10.199989045714483,12.0,0,12H_ML_CUT,
XAUUSD,SELL,2023-08-25 02:00:00+00:00,2023-08-25 07:45:00+00:00,1916.982,1915.0399142857143,3.3284041428570497,5.75,0,TRAILING_BE_EXIT,
XAUUSD,BUY,2023-08-25 08:00:00+00:00,2023-08-25 12:45:00+00:00,1914.149,1917.8027142857143,10.127025535714587,4.75,0,TRAILING_BE_EXIT,
US30,SELL,2023-08-25 01:00:00+00:00,2023-08-25 13:00:00+00:00,34159.6,34263.8,-8.212868142857841,12.0,2,12H_ML_CUT,
NZDUSD,BUY,2023-08-25 14:00:00+00:00,2023-08-25 14:30:00+00:00,0.5916,0.5929494285714285,6.776558922856723,0.5,0,TRAILING_BE_EXIT,
