symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session
US30,BUY,2023-08-22 05:00:00+00:00,2023-08-22 06:15:00+00:00,34451.1,34477.78571428571,0.5883702857142046,1.25,0,TRAILING_BE_EXIT,
US100,SELL,2023-08-22 04:00:00+00:00,2023-08-22 11:45:00+00:00,14927.52,15051.08,-21.805347857142866,7.75,2,SOFT_ATR_STOP,
US30,SELL,2023-08-22 07:00:00+00:00,2023-08-22 13:00:00+00:00,34483.6,34513.41428571429,3.333867857142598,6.0,2,TRAILING_BE_EXIT,
GBPUSD,SELL,2023-08-22 12:00:00+00:00,2023-08-23 00:00:00+00:00,1.27658,1.27307,13.159987988571926,12.0,0,12H_ML_CUT,
US100,BUY,2023-08-22 15:00:00+00:00,2023-08-23 03:00:00+00:00,14999.93,14971.25,3.1494484285713487,12.0,1,12H_ML_CUT,
US30,BUY,2023-08-23 00:00:00+00:00,2023-08-23 07:45:00+00:00,34320.9,34394.38,1.9925069999998777,7.75,0,TRAILING_BE_EXIT,
US500,SELL,2023-08-23 03:00:00+00:00,2023-08-23 12:00:00+00:00,4400.17,4397.083214285714,-0.39393878571428476,9.0,0,TRAILING_BE_EXIT,
US30,SELL,2023-08-23 08:00:00+00:00,2023-08-23 13:30:00+00:00,34396.5,34351.90571428571,1.1259559285714746,5.5,0,TRAILING_BE_EXIT,
EURUSD,SELL,2023-08-23 12:00:00+00:00,2023-08-24 00:00:00+00:00,1.08108,1.0865,-52.05003636428534,12.0,2,SOFT_ATR_STOP,
US30,SELL,2023-08-23 14:00:00+00:00,2023-08-24 02:00:00+00:00,34369.4,34484.8,-12.714420000000874,12.0,2,12H_ML_CUT,
US500,SELL,2023-08-24 02:00:00+00:00,2023-08-24 09:30:00+00:00,4461.75,4457.484285714286,-0.27628171428571896,7.5,0,TRAILING_BE_EXIT,
XAUUSD,SELL,2023-08-24 00:00:00+00:00,2023-08-24 12:00:00+00:00,1917.849,1916.567,1.003760535714211,12.0,0,12H_ML_CUT,
EURUSD,SELL,2023-08-24 11:00:00+00:00,2023-08-24 13:30:00+00:00,1.08541,1.0828088571428571,16.667983330000006,2.5,0,TRAILING_BE_EXIT,
XAUUSD,SELL,2023-08-24 13:00:00+00:00,2023-08-25 01:00:00+00:00,1914.949,1915.477,-1.6142671428571829,12.0,0,12H_ML_CUT,
NZDUSD,SELL,2023-08-24 14:00:00+00:00,2023-08-25 02:00:00+00:00,0.59363,0.59171,10.199989045714483,12.0,0,12H_ML_CUT,
XAUUSD,SELL,2023-08-25 02:00:00+00:00,2023-08-25 07:45:00+00:00,1916.982,1915.0399142857143,3.3284041428570497,5.75,0,TRAILING_BE_EXIT,
US30,SELL,2023-08-25 01:00:00+00:00,2023-08-25 13:00:00+00:00,34159.6,34263.8,-8.212868142857841,12.0,2,12H_ML_CUT,
US100,SELL,2023-08-25 08:00:00+00:00,2023-08-25 13:45:00+00:00,14798.86,14898.45,-5.332314964285722,5.75,0,SOFT_ATR_STOP,
NZDUSD,BUY,2023-08-25 14:00:00+00:00,2023-08-25 14:30:00+00:00,0.5916,0.5929494285714285,6.776558922856723,0.5,0,TRAILING_BE_EXIT,
NZDUSD,SELL,2023-08-25 17:00:00+00:00,2023-08-25 20:45:00+00:00,0.59044,0.5896864285714285,2.1342736571430008,3.75,0,TRAILING_BE_EXIT,
