symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio,f_is_buy,f_hour_sin,f_hour_cos,f_adx_x_atrratio,f_rsi_align,f_rsi_extreme,f_trendiness,f_h4_bias_agree,f_asset_class
XAUUSD,BUY,2023-08-22 05:00:00+00:00,2023-08-22 08:30:00+00:00,1893.915,1899.4650571428572,21.086408857143137,3.5,0,TRAILING_BE_EXIT,ASIA,0.32923692483567757,1.080511450213129,-2.9906911853371483,-14.66213396412946,16.692694320486662,41.90536812668175,41.90536812668175,37.10553157232066,20.659581271152547,16.692694320486662,2.483142857142866,-21.245786855529204,0.00131111631574958,5,0,12.894468427679342,41.450344668385746,1.0,0.9659258262890683,0.25881904510252074,18.036647348193505,1.0,8.09463187331825,5.495851345299009,0.0,0.0
US30,SELL,2023-08-22 04:00:00+00:00,2023-08-22 09:45:00+00:00,34461.5,34560.9,-11.35471214285729,5.75,0,SOFT_ATR_STOP,ASIA,0.14480408858603785,0.5130615400299355,1.3924596716573276,-0.27452964179401107,26.54375358582223,53.56669857854848,53.56669857854848,41.9687230239074,74.78988710010182,26.54375358582223,75.00714285714328,21.22318852155334,0.0021765489853065967,4,0,8.031276976092599,1990.9711171765773,0.0,0.8660254037844386,0.5000000000000001,13.618579092917077,-1.0,3.5666985785484826,3.843644045647362,0.0,2.0
XAUUSD,SELL,2023-08-22 09:00:00+00:00,2023-08-22 14:15:00+00:00,1899.921,1893.3964285714287,24.975423571428195,5.25,0,TRAILING_BE_EXIT,EUROPE,0.007186440677981369,1.3568369883738514,-2.7358393048326093,-4.823121414150016,35.56073435452143,59.36643338001401,59.36643338001401,49.400418229651436,29.457888164144876,35.56073435452143,2.3745714285714388,-29.908545215869133,0.0012498264025564425,9,1,0.5995817703485642,84.4415037772654,0.0,0.7071067811865476,-0.7071067811865475,48.250119705951406,-1.0,9.366433380014008,0.2555551079042223,1.0,0.0
NZDUSD,SELL,2023-08-22 15:00:00+00:00,2023-08-22 19:45:00+00:00,0.59408,0.5933689285714286,0.9421371685713876,4.75,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.284046692606996,1.45249487354751,7.618407097391639,7.191590402227789,48.90421683848349,45.3893158371706,45.3893158371706,47.439294047794775,79.57242812808026,48.90421683848349,0.0015657142857142734,34.18311229090966,0.0026355276826593613,15,4,2.5607059522052253,0.07657003093568213,0.0,-0.7071067811865471,-0.7071067811865479,71.0331242527531,1.0,4.610684162829401,13.891081047506598,0.0,3.0
AUDUSD,SELL,2023-08-22 14:00:00+00:00,2023-08-23 01:30:00+00:00,0.64102,0.64492,-38.22002754857192,11.5,1,SOFT_ATR_STOP,OVERLAP_EU_US,0.591836734693849,1.4024741426891616,-6.791085863607115,-12.919434969409835,35.81378577201748,30.089761227727237,30.089761227727237,41.25382848947829,72.31556683851349,35.81378577201748,0.0016728571428571426,42.22580561078625,0.002609680108042093,14,4,8.746171510521712,0.05991134734147495,0.0,-0.4999999999999997,-0.8660254037844388,50.22790849706351,1.0,19.910238772272763,21.195914028335856,0.0,3.0
USDJPY,BUY,2023-08-22 20:00:00+00:00,2023-08-23 05:30:00+00:00,145.88,145.614,-14.047509580122364,9.5,0,SOFT_ATR_STOP,US,0.4576271186439943,0.6431002968154832,0.9224195659198244,-0.6324398453580642,35.30914854586609,54.32851100471157,54.32851100471157,58.1335718989015,68.06348528083986,35.30914854586609,0.18385714285714375,13.734974276128284,0.0012603313878334504,20,2,8.1335718989015,6.491839168361411,1.0,-0.8660254037844386,0.5000000000000001,22.707323910148467,1.0,4.328511004711572,16.15842391081748,1.0,3.0
US30,SELL,2023-08-22 16:00:00+00:00,2023-08-23 11:00:00+00:00,34346.5,34305.82571428571,12.866302857143515,19.0,1,TRAILING_BE_EXIT,US,0.5141369047619162,1.7177104037773991,-2.432168738691317,5.09424817553645,38.37885040596243,30.13900326182076,30.13900326182076,32.49741232341064,63.779606663254384,38.37885040596243,54.67142857142868,33.64060340143362,0.00159176127324265,16,2,17.502587676589357,2098.2265786231214,0.0,-0.8660254037844385,-0.5000000000000004,65.92375062733812,1.0,19.86099673817924,19.731983356042136,0.0,2.0
XAUUSD,SELL,2023-08-23 02:00:00+00:00,2023-08-23 12:30:00+00:00,1901.439,1906.337,-15.528501428571161,10.5,0,SOFT_ATR_STOP,ASIA,0.6659453078889994,0.5946079613499943,5.12997685351538,6.9326108733820035,23.69468429385626,71.66128380272733,71.66128380272733,55.870305347945724,29.1198811467425,23.69468429385626,2.911142857142831,-42.541402655984825,0.0015310209042429606,2,0,5.870305347945724,68.97861093431406,0.0,0.49999999999999994,0.8660254037844387,14.0890479228016,1.0,21.661283802727326,15.779363827404746,1.0,0.0
USDJPY,BUY,2023-08-23 08:00:00+00:00,2023-08-23 14:00:00+00:00,145.394,144.753,-46.090720744994556,6.0,0,SOFT_ATR_STOP,OVERLAP_ASIA_EU,0.29255319148934544,1.3136288998357402,-12.497604311688441,-21.42572179137209,33.30463960320122,32.86890539940947,32.86890539940947,37.62475973089295,46.28513105970215,33.30463960320122,0.13528571428571265,13.416225660292682,0.0009304765965976082,8,3,12.375240269107053,4.50564195774731,1.0,0.8660254037844387,-0.4999999999999998,43.74993708137904,1.0,17.13109460059053,9.743378607318963,0.0,3.0
USDJPY,SELL,2023-08-23 16:00:00+00:00,2023-08-24 04:00:00+00:00,144.623,145.008,-14.178015892719886,12.0,0,SOFT_ATR_STOP,US,0.5795090715047669,2.0189391137086847,-2.020192493615241,-0.11529688711229369,63.10224441933992,27.655373168467733,27.655373168467733,21.86424277296956,29.226146055750988,63.10224441933992,0.2434285714285705,1.5707728872832547,0.001683194038490216,16,2,28.13575722703044,15.360889212936401,0.0,-0.8660254037844385,-0.5000000000000004,127.39958942101093,1.0,22.344626831532267,36.56832307331854,1.0,3.0
