symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio,f_is_buy,f_hour_sin,f_hour_cos,f_adx_x_atrratio,f_rsi_align,f_rsi_extreme,f_trendiness,f_h4_bias_agree,f_asset_class
AUDUSD,SELL,2025-08-21 15:00:00+00:00,2025-08-22 02:15:00+00:00,0.64254,0.6421632142857143,1.6678420714281965,11.25,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.09144542772861705,1.2991762105686244,6.4887831010490515,-7.209698903926878,38.22898755782039,51.09750839606747,51.09750839606747,46.20762235242779,28.481078067938157,38.22898755782039,0.0009014285714285451,-22.61643032812931,0.0014029143266233155,15,4,3.7923776475722093,0.03446070164140566,0.0,-0.7071067811865471,-0.7071067811865479,49.66619118924419,-1.0,1.097508396067468,3.4958661188568647,1.0,3.0
USDJPY,BUY,2025-08-21 14:00:00+00:00,2025-08-22 06:15:00+00:00,147.794,148.59285714285716,36.43497476325539,16.25,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.11033274956214582,1.1991698562117927,1.377697316885957,-0.9038080180182249,44.86441329405037,56.47450733286911,56.47450733286911,60.859037621505145,59.339494418045305,44.86441329405037,0.19085714285714467,2.864987085176196,0.001291372740822663,14,4,10.859037621505145,8.562693737264553,1.0,-0.4999999999999997,-0.8660254037844388,53.800052038852826,1.0,6.474507332869109,4.950014076225066,1.0,3.0
US30,SELL,2025-08-21 16:00:00+00:00,2025-08-22 09:00:00+00:00,44765.9,44922.9,-16.66659642857143,17.0,0,SOFT_ATR_STOP,US,0.02265372168284571,2.1547018040735035,-8.195608980371453,2.43180230176889,30.49794407586344,45.28732073046211,45.28732073046211,40.688146117299006,42.92999955404033,30.49794407586344,86.22142857142951,-2.3573211764217845,0.0019260514939145536,16,2,9.311853882700994,2629.5763067125113,0.0,-0.8660254037844385,-0.5000000000000004,65.71397512079578,1.0,4.712679269537887,0.6908919369936034,1.0,2.0
BTCUSD,SELL,2025-08-22 03:00:00+00:00,2025-08-22 12:45:00+00:00,113122.34,112201.96257142856,8.915392650000031,9.75,0,TRAILING_BE_EXIT,ASIA,0.2678411747172239,0.994915599460239,5.601375663735517,-4.454781077944062,27.94496587041477,59.0084992706243,59.0084992706243,51.220015388550955,33.50130900725274,27.94496587041477,618.4478571428574,-25.507190263371555,0.005467070935262278,3,0,1.220015388550955,17282.5042604883,0.0,0.7071067811865476,0.7071067811865476,27.80288247085963,1.0,9.008499270624299,7.484812486164621,1.0,1.0
USDJPY,SELL,2025-08-22 14:00:00+00:00,2025-08-22 14:30:00+00:00,148.604,147.0408857142857,83.665769664454,0.5,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.1821561338289739,0.9575367148756876,-5.762102558279224,6.138546494194848,25.894634230439692,48.597259669707796,48.597259669707796,60.51266111202759,70.10517252168505,25.894634230439692,0.1765714285714251,21.507912851977252,0.0011882010482317103,14,4,10.512661112027587,4.572252558403261,0.0,-0.4999999999999997,-0.8660254037844388,24.795062993922752,-1.0,1.402740330292204,4.716866458332301,0.0,3.0
XAUUSD,BUY,2025-08-22 07:00:00+00:00,2025-08-22 16:00:00+00:00,3329.434,3368.445885714286,77.52771364285702,9.0,0,TRAILING_BE_EXIT,OVERLAP_ASIA_EU,0.005025125628159077,0.7626470789480032,-0.7888058112095422,6.9420856386911325,21.79404174682557,41.58477279267698,41.58477279267698,38.873520606866485,45.84006741017412,21.79404174682557,3.993571428571418,4.255294617497142,0.0011994745739280063,7,3,11.126479393133515,87.03606243321532,1.0,0.9659258262890683,-0.25881904510252063,16.621162276687357,1.0,8.41522720732302,0.10951779772314199,0.0,0.0
USDJPY,SELL,2025-08-22 16:00:00+00:00,2025-08-24 21:15:00+00:00,146.824,146.86,-3.0416183537285733,53.25,0,24H_HARD_CUT,US,0.806597379123342,2.404074837482198,-0.2226546302296839,7.612255936320281,33.206298839114716,18.742682453037787,18.742682453037787,22.100910128389145,36.408736649552075,33.206298839114716,0.2931428571428561,17.66605419651429,0.0019965595348366482,16,2,27.899089871610855,9.734189316837593,0.0,-0.8660254037844385,-0.5000000000000004,79.83042748503,1.0,31.257317546962213,26.784113614016402,1.0,3.0
XAUUSD,BUY,2025-08-22 17:00:00+00:00,2025-08-24 22:15:00+00:00,3370.588,3367.608,-3.228315392857161,53.25,0,24H_HARD_CUT,US,0.1643380382347816,2.2436336894063005,1.0576968059592105,-3.2662564928773463,39.19857822640084,71.4614758681394,71.4614758681394,71.50033352728164,64.73557261933972,39.19857822640084,8.893857142857152,-6.725903248799682,0.0026386663522379927,17,2,21.50033352728164,348.62655494871996,1.0,-0.9659258262890683,-0.25881904510252063,87.9472506855812,1.0,21.461475868139402,6.441817447319339,1.0,0.0
US30,BUY,2025-08-22 18:00:00+00:00,2025-08-24 22:15:00+00:00,45693.5,45685.9,-1.3220359999998839,52.25,0,24H_HARD_CUT,US,0.16471571906354823,1.5200059850438896,-0.2624034823563477,-4.18671656287502,34.40854227828209,71.81403456292044,71.81403456292044,83.68812320040311,77.46392100840896,34.40854227828209,119.3214285714291,5.649886445488519,0.0026113435952909952,18,2,33.68812320040311,4105.676419705034,1.0,-1.0,-1.8369701987210297e-16,52.30119019962449,1.0,21.81403456292044,5.6676277832957345,1.0,2.0
XAUUSD,BUY,2025-08-25 02:00:00+00:00,2025-08-25 08:30:00+00:00,3362.829,3365.232357142857,2.1611470714281773,6.5,0,TRAILING_BE_EXIT,ASIA,0.47129561852974877,0.7710003146849199,-2.223084522339825,-3.541320454655299,53.606938494703044,40.59143287217614,40.59143287217614,59.01034670661774,63.593316961349444,53.606938494703044,9.150000000000025,23.001884089173302,0.0027209233654164468,2,0,9.010346706617739,490.5034872265342,1.0,0.49999999999999994,0.8660254037844387,41.330966448711195,-1.0,9.408567127823858,25.26471523534727,1.0,0.0
