symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio,f_is_buy,f_hour_sin,f_hour_cos,f_adx_x_atrratio,f_rsi_align,f_rsi_extreme,f_trendiness,f_h4_bias_agree,f_asset_class
XAUUSD,BUY,2023-08-22 05:00:00+00:00,2023-08-22 08:30:00+00:00,1893.915,1899.4650571428572,21.086408857143137,3.5,0,TRAILING_BE_EXIT,ASIA,0.32923692483567757,1.080511450213129,-2.9906911853371483,-14.66213396412946,16.692694320486662,41.90536812668175,41.90536812668175,37.10553157232066,20.659581271152547,16.692694320486662,2.483142857142866,-21.245786855529204,0.00131111631574958,5,0,12.894468427679342,41.450344668385746,1.0,0.9659258262890683,0.25881904510252074,18.036647348193505,1.0,8.09463187331825,5.495851345299009,0.0,0.0
US30,SELL,2023-08-22 04:00:00+00:00,2023-08-22 09:45:00+00:00,34461.5,34560.9,-11.35471214285729,5.75,0,SOFT_ATR_STOP,ASIA,0.14480408858603785,0.5130615400299355,1.3924596716573276,-0.27452964179401107,26.54375358582223,53.56669857854848,53.56669857854848,41.9687230239074,74.78988710010182,26.54375358582223,75.00714285714328,21.22318852155334,0.0021765489853065967,4,0,8.031276976092599,1990.9711171765773,0.0,0.8660254037844386,0.5000000000000001,13.618579092917077,-1.0,3.5666985785484826,3.843644045647362,0.0,2.0
XAUUSD,SELL,2023-08-22 09:00:00+00:00,2023-08-22 14:15:00+00:00,1899.921,1893.3964285714287,24.975423571428195,5.25,0,TRAILING_BE_EXIT,EUROPE,0.007186440677981369,1.3568369883738514,-2.7358393048326093,-4.823121414150016,35.56073435452143,59.36643338001401,59.36643338001401,49.400418229651436,29.457888164144876,35.56073435452143,2.3745714285714388,-29.908545215869133,0.0012498264025564425,9,1,0.5995817703485642,84.4415037772654,0.0,0.7071067811865476,-0.7071067811865475,48.250119705951406,-1.0,9.366433380014008,0.2555551079042223,1.0,0.0
NZDUSD,SELL,2023-08-22 15:00:00+00:00,2023-08-22 19:45:00+00:00,0.59408,0.5933689285714286,0.9421371685713876,4.75,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.284046692606996,1.45249487354751,7.618407097391639,7.191590402227789,48.90421683848349,45.3893158371706,45.3893158371706,47.439294047794775,79.57242812808026,48.90421683848349,0.0015657142857142734,34.18311229090966,0.0026355276826593613,15,4,2.5607059522052253,0.07657003093568213,0.0,-0.7071067811865471,-0.7071067811865479,71.0331242527531,1.0,4.610684162829401,13.891081047506598,0.0,3.0
AUDUSD,SELL,2023-08-22 14:00:00+00:00,2023-08-23 01:30:00+00:00,0.64102,0.64492,-38.22002754857192,11.5,1,SOFT_ATR_STOP,OVERLAP_EU_US,0.591836734693849,1.4024741426891616,-6.791085863607115,-12.919434969409835,35.81378577201748,30.089761227727237,30.089761227727237,41.25382848947829,72.31556683851349,35.81378577201748,0.0016728571428571426,42.22580561078625,0.002609680108042093,14,4,8.746171510521712,0.05991134734147495,0.0,-0.4999999999999997,-0.8660254037844388,50.22790849706351,1.0,19.910238772272763,21.195914028335856,0.0,3.0
XAUUSD,SELL,2023-08-23 02:00:00+00:00,2023-08-23 12:30:00+00:00,1901.439,1906.337,-15.528501428571161,10.5,0,SOFT_ATR_STOP,ASIA,0.6659453078889994,0.5946079613499943,5.12997685351538,6.9326108733820035,23.69468429385626,71.66128380272733,71.66128380272733,55.870305347945724,29.1198811467425,23.69468429385626,2.911142857142831,-42.541402655984825,0.0015310209042429606,2,0,5.870305347945724,68.97861093431406,0.0,0.49999999999999994,0.8660254037844387,14.0890479228016,1.0,21.661283802727326,15.779363827404746,1.0,0.0
US30,SELL,2023-08-22 20:00:00+00:00,2023-08-23 17:30:00+00:00,34305.4,34524.2,-50.08794642857057,21.5,2,SOFT_ATR_STOP,US,0.012765957446803021,1.6418056598230897,-0.9106402645523843,-8.861735323425897,41.42364162582374,43.10870040903283,43.10870040903283,31.147805444538648,61.77209735813482,41.42364162582374,73.87142857142888,18.663396949101994,0.0021533469532909943,20,2,18.852194555461352,3060.0235835305066,0.0,-0.8660254037844386,0.5000000000000001,68.00956927176075,1.0,6.891299590967172,0.5288124462868842,0.0,2.0
USDJPY,SELL,2023-08-23 13:00:00+00:00,2023-08-23 19:15:00+00:00,145.475,144.8448857142857,33.35561771203121,6.25,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.03293413173655484,1.4097744360901632,2.8746372840865746,-0.38058236977678916,51.79139201541616,50.2459200568676,50.2459200568676,43.4834148300381,47.65054596991028,51.79139201541616,0.1723571428571416,-2.595374086957314,0.0011847887462254107,13,4,6.5165851699619,8.926616352371305,0.0,-0.2588190451025208,-0.9659258262890683,73.01418047285789,-1.0,0.24592005686759677,1.7057045274552705,1.0,3.0
USDJPY,SELL,2023-08-23 20:00:00+00:00,2023-08-24 01:00:00+00:00,144.865,144.75150000000002,3.0162725429438626,5.0,0,TRAILING_BE_EXIT,US,0.6009852216748255,0.8318873124426014,4.206069311435996,-1.2134860186771448,63.383833823351246,49.789943788211396,49.789943788211396,34.796896918865656,37.091202793302116,63.383833823351246,0.2551428571428594,-12.69874099490928,0.0017612456918017422,20,2,15.203103081134344,16.171932458358047,0.0,-0.8660254037844386,0.5000000000000001,52.72820717161613,1.0,0.21005621178860423,38.09274742092705,1.0,3.0
XAUUSD,BUY,2023-08-23 18:00:00+00:00,2023-08-24 02:15:00+00:00,1917.974,1919.6615357142857,2.814946214285859,8.25,0,TRAILING_BE_EXIT,US,0.22260668973467498,1.0379615857207465,-4.740405840339008,-1.199001755394761,64.5639076719727,63.11178806173169,63.11178806173169,72.28708628272966,55.8839255235609,64.5639076719727,3.6829999999999603,-7.22786253817079,0.0019202554362050582,18,2,22.28708628272966,237.78887195587288,1.0,-1.0,-1.8369701987210297e-16,67.01485598752865,1.0,13.111788061731687,14.372357763193028,1.0,0.0
