symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio,f_is_buy,f_hour_sin,f_hour_cos,f_adx_x_atrratio,f_rsi_align,f_rsi_extreme,f_trendiness,f_h4_bias_agree,f_asset_class
XAUUSD,SELL,2023-08-22 09:00:00+00:00,2023-08-22 14:15:00+00:00,1899.921,1893.3964285714287,24.975423571428195,5.25,0,TRAILING_BE_EXIT,EUROPE,0.007186440677981369,1.3568369883738514,-2.7358393048326093,-4.823121414150016,35.56073435452143,59.36643338001401,59.36643338001401,49.400418229651436,29.457888164144876,35.56073435452143,2.3745714285714388,-29.908545215869133,0.0012498264025564425,9,1,0.5995817703485642,84.4415037772654,0.0,0.7071067811865476,-0.7071067811865475,48.250119705951406,-1.0,9.366433380014008,0.2555551079042223,1.0,0.0
NZDUSD,SELL,2023-08-22 15:00:00+00:00,2023-08-22 19:45:00+00:00,0.59408,0.5933689285714286,0.9421371685713876,4.75,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.284046692606996,1.45249487354751,7.618407097391639,7.191590402227789,48.90421683848349,45.3893158371706,45.3893158371706,47.439294047794775,79.57242812808026,48.90421683848349,0.0015657142857142734,34.18311229090966,0.0026355276826593613,15,4,2.5607059522052253,0.07657003093568213,0.0,-0.7071067811865471,-0.7071067811865479,71.0331242527531,1.0,4.610684162829401,13.891081047506598,0.0,3.0
AUDUSD,SELL,2023-08-22 14:00:00+00:00,2023-08-23 01:30:00+00:00,0.64102,0.64492,-38.22002754857192,11.5,1,SOFT_ATR_STOP,OVERLAP_EU_US,0.591836734693849,1.4024741426891616,-6.791085863607115,-12.919434969409835,35.81378577201748,30.089761227727237,30.089761227727237,41.25382848947829,72.31556683851349,35.81378577201748,0.0016728571428571426,42.22580561078625,0.002609680108042093,14,4,8.746171510521712,0.05991134734147495,0.0,-0.4999999999999997,-0.8660254037844388,50.22790849706351,1.0,19.910238772272763,21.195914028335856,0.0,3.0
USDJPY,BUY,2023-08-22 20:00:00+00:00,2023-08-23 05:30:00+00:00,145.88,145.614,-14.047509580122364,9.5,0,SOFT_ATR_STOP,US,0.4576271186439943,0.6431002968154832,0.9224195659198244,-0.6324398453580642,35.30914854586609,54.32851100471157,54.32851100471157,58.1335718989015,68.06348528083986,35.30914854586609,0.18385714285714375,13.734974276128284,0.0012603313878334504,20,2,8.1335718989015,6.491839168361411,1.0,-0.8660254037844386,0.5000000000000001,22.707323910148467,1.0,4.328511004711572,16.15842391081748,1.0,3.0
XAUUSD,BUY,2023-08-23 09:00:00+00:00,2023-08-23 13:00:00+00:00,1903.71,1905.2974571428572,6.543901071428593,4.0,0,TRAILING_BE_EXIT,EUROPE,0.011746729061220696,1.1578503197456638,0.2796690930673762,-6.629151261891167,40.16451486294458,54.895622335865,54.895622335865,59.9294523182755,37.594924620859324,40.16451486294458,1.761357142857118,-17.300697715005676,0.000925223454652819,9,1,9.929452318275501,70.74405514323831,1.0,0.7071067811865476,-0.7071067811865475,46.50449637648985,1.0,4.895622335864999,0.47180167397038164,0.0,0.0
USDJPY,BUY,2023-08-23 08:00:00+00:00,2023-08-23 14:00:00+00:00,145.394,144.753,-46.090720744994556,6.0,0,SOFT_ATR_STOP,OVERLAP_ASIA_EU,0.29255319148934544,1.3136288998357402,-12.497604311688441,-21.42572179137209,33.30463960320122,32.86890539940947,32.86890539940947,37.62475973089295,46.28513105970215,33.30463960320122,0.13528571428571265,13.416225660292682,0.0009304765965976082,8,3,12.375240269107053,4.50564195774731,1.0,0.8660254037844387,-0.4999999999999998,43.74993708137904,1.0,17.13109460059053,9.743378607318963,0.0,3.0
USDJPY,SELL,2023-08-23 16:00:00+00:00,2023-08-24 04:00:00+00:00,144.623,145.008,-14.178015892719886,12.0,0,SOFT_ATR_STOP,US,0.5795090715047669,2.0189391137086847,-2.020192493615241,-0.11529688711229369,63.10224441933992,27.655373168467733,27.655373168467733,21.86424277296956,29.226146055750988,63.10224441933992,0.2434285714285705,1.5707728872832547,0.001683194038490216,16,2,28.13575722703044,15.360889212936401,0.0,-0.8660254037844385,-0.5000000000000004,127.39958942101093,1.0,22.344626831532267,36.56832307331854,1.0,3.0
XAUUSD,BUY,2023-08-23 17:00:00+00:00,2023-08-24 12:15:00+00:00,1919.703,1914.89,-10.182478928571179,19.25,0,SOFT_ATR_STOP,US,0.31290780141840785,1.7439852653389976,1.2228081606310468,0.9550800044822267,59.67338291368231,71.21016585639917,71.21016585639917,77.02749212306867,55.8839255235609,59.67338291368231,3.6515714285713847,-15.326240332838275,0.0019021543585499344,17,2,27.02749212306867,217.90162009380217,1.0,-0.9659258262890683,-0.25881904510252063,104.06950053439385,1.0,21.210165856399172,18.672267050719118,1.0,0.0
AUDUSD,SELL,2023-08-24 09:00:00+00:00,2023-08-24 14:00:00+00:00,0.64575,0.6437314285714286,16.09711913571426,5.0,0,TRAILING_BE_EXIT,EUROPE,0.39548022598868976,1.075869068764264,0.6746006089385759,0.17479555730399454,45.27925883047761,36.60194383956423,36.60194383956423,47.80739483951784,58.37569703850873,45.27925883047761,0.0010607142857142879,21.773753198944505,0.0016426082628173252,9,1,2.1926051604821595,0.048028356688042416,0.0,0.7071067811865476,-0.7071067811865475,48.714554032282024,1.0,13.398056160435772,17.90705151487766,0.0,3.0
XAUUSD,SELL,2023-08-24 13:00:00+00:00,2023-08-24 14:45:00+00:00,1914.949,1920.872,-24.807534428571437,1.75,0,SOFT_ATR_STOP,OVERLAP_EU_US,0.4487787735020226,1.0390307988014595,-4.7562306148620195,11.776798467511597,37.001796429127566,36.30046742151073,36.30046742151073,48.4552013317301,52.59065402705058,37.001796429127566,2.35957142857142,16.29018660553985,0.0012321849973923168,13,4,1.5447986682698982,87.3083816599854,0.0,-0.2588190451025208,-0.9659258262890683,38.44600610084541,1.0,13.699532578489269,16.60562081883539,0.0,0.0
