symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio,f_is_buy,f_hour_sin,f_hour_cos,f_adx_x_atrratio,f_rsi_align,f_rsi_extreme,f_trendiness,f_h4_bias_agree,f_asset_class
AUDUSD,SELL,2025-08-21 15:00:00+00:00,2025-08-22 02:15:00+00:00,0.64254,0.6421632142857143,1.6678420714281965,11.25,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.09144542772861705,1.2991762105686244,6.4887831010490515,-7.209698903926878,38.22898755782039,51.09750839606747,51.09750839606747,46.20762235242779,28.481078067938157,38.22898755782039,0.0009014285714285451,-22.61643032812931,0.0014029143266233155,15,4,3.7923776475722093,0.03446070164140566,0.0,-0.7071067811865471,-0.7071067811865479,49.66619118924419,-1.0,1.097508396067468,3.4958661188568647,1.0,3.0
USDJPY,BUY,2025-08-21 14:00:00+00:00,2025-08-22 06:15:00+00:00,147.794,148.59285714285716,36.43497476325539,16.25,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.11033274956214582,1.1991698562117927,1.377697316885957,-0.9038080180182249,44.86441329405037,56.47450733286911,56.47450733286911,60.859037621505145,59.339494418045305,44.86441329405037,0.19085714285714467,2.864987085176196,0.001291372740822663,14,4,10.859037621505145,8.562693737264553,1.0,-0.4999999999999997,-0.8660254037844388,53.800052038852826,1.0,6.474507332869109,4.950014076225066,1.0,3.0
XAUUSD,SELL,2025-08-22 09:00:00+00:00,2025-08-22 13:30:00+00:00,3328.827,3326.423392857143,4.322792642857365,4.5,0,TRAILING_BE_EXIT,EUROPE,0.07583102493076765,1.089536317877283,2.805014575507215,1.4286114338375455,23.951087616627657,44.164878044528336,44.164878044528336,39.26831034258301,43.13046557795979,23.951087616627657,4.2677857142857,-1.034412466568547,0.0012820689432901438,9,1,10.731689657416993,102.21810957184864,0.0,0.7071067811865476,-0.7071067811865475,26.095579810976687,1.0,5.835121955471664,1.8162355221754922,1.0,0.0
XAUUSD,SELL,2025-08-22 14:00:00+00:00,2025-08-22 14:15:00+00:00,3333.702,3358.89,-25.43137717857108,0.25,0,SOFT_ATR_STOP,OVERLAP_EU_US,0.2513030746705835,1.1958189498957044,16.953861683826858,23.970394721122624,32.83087800909716,61.46882791413767,61.46882791413767,50.55698878011158,44.60095913925825,32.83087800909716,5.584785714285739,-16.86786877487942,0.001675250431587988,14,4,0.5569887801115811,183.35341849266365,0.0,-0.4999999999999997,-0.8660254037844388,39.25978606499254,1.0,11.46882791413767,8.250500587820962,1.0,0.0
NZDUSD,BUY,2025-08-22 05:00:00+00:00,2025-08-22 15:45:00+00:00,0.58055,0.5861814285714285,53.314263071427945,10.75,0,TRAILING_BE_EXIT,ASIA,0.6304347826086025,1.0294427657929655,-5.355895784466917,-12.075242459184075,17.607148437196468,29.90231385931564,29.90231385931564,33.97044941659266,22.41135017831388,17.607148437196468,0.0007171428571428527,-7.490963681001759,0.0012352818140433256,5,0,16.029550583407342,0.012626840736389389,1.0,0.9659258262890683,0.25881904510252074,18.12555158491482,1.0,20.09768614068436,11.10015879736135,0.0,3.0
USDJPY,SELL,2025-08-22 16:00:00+00:00,2025-08-24 21:15:00+00:00,146.824,146.86,-3.0416183537285733,53.25,0,24H_HARD_CUT,US,0.806597379123342,2.404074837482198,-0.2226546302296839,7.612255936320281,33.206298839114716,18.742682453037787,18.742682453037787,22.100910128389145,36.408736649552075,33.206298839114716,0.2931428571428561,17.66605419651429,0.0019965595348366482,16,2,27.899089871610855,9.734189316837593,0.0,-0.8660254037844385,-0.5000000000000004,79.83042748503,1.0,31.257317546962213,26.784113614016402,1.0,3.0
XAUUSD,BUY,2025-08-22 17:00:00+00:00,2025-08-24 22:15:00+00:00,3370.588,3367.608,-3.228315392857161,53.25,0,24H_HARD_CUT,US,0.1643380382347816,2.2436336894063005,1.0576968059592105,-3.2662564928773463,39.19857822640084,71.4614758681394,71.4614758681394,71.50033352728164,64.73557261933972,39.19857822640084,8.893857142857152,-6.725903248799682,0.0026386663522379927,17,2,21.50033352728164,348.62655494871996,1.0,-0.9659258262890683,-0.25881904510252063,87.9472506855812,1.0,21.461475868139402,6.441817447319339,1.0,0.0
US30,SELL,2025-08-25 12:00:00+00:00,2025-08-25 20:15:00+00:00,45570.4,45293.384999999995,26.894765714286386,8.25,0,TAKE_PROFIT,EUROPE,0.11775362318839648,0.4536339427792043,0.9220518139437459,-5.796550660725508,55.426794543371365,40.28843160182841,40.28843160182841,61.949186572287196,68.15812472035788,55.426794543371365,37.31428571428426,27.86969311852947,0.0008188272587970318,12,1,11.949186572287196,2068.2112478182908,0.0,1.2246467991473532e-16,-1.0,25.14347534432244,-1.0,9.711568398171593,6.526705879200822,0.0,2.0
BTCUSD,SELL,2025-08-25 14:00:00+00:00,2025-08-25 22:30:00+00:00,111463.57,110362.29942857142,10.722055175000126,8.5,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.16898336874319655,1.0657290000336814,-0.6932892899848895,2.7625562072160577,57.86544410770663,48.633299770009955,48.633299770009955,35.29854589168754,33.25369445486831,57.86544410770663,751.5635714285693,-15.379605315141646,0.006742683474327704,14,4,14.701454108312461,43489.559835888256,0.0,-0.4999999999999997,-0.8660254037844388,61.66888188541107,1.0,1.3667002299900446,9.778297679141419,1.0,1.0
USDJPY,BUY,2025-08-25 21:00:00+00:00,2025-08-26 00:15:00+00:00,147.738,147.216,-29.743535951060746,3.25,0,SOFT_ATR_STOP,US,0.09652509652510245,0.9138152980627776,-3.137939588785521,-7.628213802164339,25.412299274149735,58.02383716309271,58.02383716309271,57.49546425723913,53.61897099965359,25.412299274149735,0.17771428571428974,-4.404866163439117,0.0012029016618222105,21,2,7.495464257239128,4.516128613863284,1.0,-0.7071067811865477,0.7071067811865474,23.22214783566765,1.0,8.023837163092708,2.4529246403620943,1.0,3.0
