symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio
US30,BUY,2023-08-22 05:00:00+00:00,2023-08-22 06:15:00+00:00,34451.1,34477.78571428571,0.5883702857142046,1.25,0,TRAILING_BE_EXIT,ASIA,0.19630484988451335,0.40485927953795003,-1.0838474911779414,-3.7344158133244676,25.414010642379424,48.80268014928299,48.80268014928299,40.88487553272946,74.78988710010182,25.414010642379424,66.15714285714368,25.98720695081883,0.0019203201888225248,5,0,9.11512446727054,1681.3183326408655
US100,SELL,2023-08-22 04:00:00+00:00,2023-08-22 11:45:00+00:00,14927.52,15051.08,-21.805347857142866,7.75,2,SOFT_ATR_STOP,ASIA,0.15382709933119304,0.5253566822917777,-0.12208086258364403,-3.3785862158563447,53.28018942130332,57.23395892661327,57.23395892661327,53.271819283944936,91.15425835902329,53.28018942130332,50.324999999999946,33.92029943241002,0.0033712900736358044,4,0,3.271819283944936,2681.325532627087
US30,SELL,2023-08-22 07:00:00+00:00,2023-08-22 13:00:00+00:00,34483.6,34513.41428571429,3.333867857142598,6.0,2,TRAILING_BE_EXIT,OVERLAP_ASIA_EU,0.44578313253015667,0.49948642868642035,4.261403189770739,2.7093859006155654,25.806802257406044,62.44811991794785,62.44811991794785,45.895472936617466,74.78988710010182,25.806802257406044,48.59285714285787,12.341767182153973,0.0014091584736761207,7,3,4.104527063382534,1254.026255408114
GBPUSD,SELL,2023-08-22 12:00:00+00:00,2023-08-23 00:00:00+00:00,1.27658,1.27307,13.159987988571926,12.0,0,12H_ML_CUT,EUROPE,0.11256117455135578,1.3125877182891537,0.561944979215454,7.592179768164911,40.47186913613392,43.21487429880695,43.21487429880695,45.75160532501801,40.21160076638094,40.47186913613392,0.001437142857142851,-3.0032735324260074,0.0011257757893299684,12,1,4.248394674981988,0.05816385764421507
US100,BUY,2023-08-22 14:00:00+00:00,2023-08-23 02:00:00+00:00,14960.13,14970.22,0.3020110000000146,12.0,0,12H_ML_CUT,OVERLAP_EU_US,0.5594654788418721,1.1759181532004186,-14.834133196497618,-30.513190432055183,52.5709871399808,33.50016605441043,33.50016605441043,51.136706041630646,92.55376249785144,52.5709871399808,32.85785714285703,59.05359644344101,0.0021963617390261337,14,4,1.1367060416306458,1727.3699853044632
US30,BUY,2023-08-23 00:00:00+00:00,2023-08-23 07:45:00+00:00,34320.9,34394.38,1.9925069999998777,7.75,0,TRAILING_BE_EXIT,ASIA,0.41339491916852755,0.6018156739548619,-0.44007227631075807,-1.2460398691164158,35.90240250026002,46.24469530987559,46.24469530987559,34.33536655510902,62.25461604532642,35.90240250026002,66.67142857142919,16.009920735450834,0.0019425897506017962,0,0,15.664633444890981,2393.6644638387866
US500,SELL,2023-08-23 02:00:00+00:00,2023-08-23 12:00:00+00:00,4400.01,4396.9232142857145,-0.39393878571428476,10.0,0,TRAILING_BE_EXIT,ASIA,0.7059276366435895,0.4528107271789002,3.729646818610874,4.301613078982278,20.595797214878473,60.833455551988955,60.833455551988955,50.9203435941505,71.54212067900878,20.595797214878473,10.584999999999907,10.70866512701982,0.002405676350735545,2,0,0.920343594150502,218.00651351948673
US30,SELL,2023-08-23 08:00:00+00:00,2023-08-23 13:30:00+00:00,34396.5,34351.90571428571,1.1259559285714746,5.5,0,TRAILING_BE_EXIT,OVERLAP_ASIA_EU,0.042446941323364754,0.8074688334253287,1.3987736529827046,-13.345652733226096,35.09360951747328,52.406048430019986,52.406048430019986,47.794879835231384,64.62925646488412,35.09360951747328,41.55000000000031,12.223208034864136,0.0012079717413108983,8,3,2.2051201647686156,1458.1394754510259
EURUSD,SELL,2023-08-23 12:00:00+00:00,2023-08-24 00:00:00+00:00,1.08108,1.0865,-52.05003636428534,12.0,2,SOFT_ATR_STOP,EUROPE,0.21678321678326673,1.1628473915163506,3.121712009046334,9.635095242330543,47.91358965713829,36.47355029236174,36.47355029236174,26.6240345664867,43.91336621648609,47.91358965713829,0.0012092857142857222,7.439815924124346,0.0011185904043046974,12,1,23.3759654335133,0.05794121949252547
US30,SELL,2023-08-23 14:00:00+00:00,2023-08-24 02:00:00+00:00,34369.4,34484.8,-12.714420000000874,12.0,2,12H_ML_CUT,OVERLAP_EU_US,0.13519430760812137,1.3250957675417898,8.521811530395176,4.5011364402840215,41.816232301293105,49.21670570774272,49.21670570774272,46.07144360585984,62.61222713967909,41.816232301293105,47.89999999999937,13.395521431936373,0.0013936815888551844,14,4,3.928556394140159,2002.9975272319136
