symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio,f_is_buy,f_hour_sin,f_hour_cos,f_adx_x_atrratio,f_rsi_align,f_rsi_extreme,f_trendiness,f_h4_bias_agree,f_asset_class
AUDUSD,SELL,2025-08-21 15:00:00+00:00,2025-08-22 02:15:00+00:00,0.64254,0.6421632142857143,1.6678420714281965,11.25,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.09144542772861705,1.2991762105686244,6.4887831010490515,-7.209698903926878,38.22898755782039,51.09750839606747,51.09750839606747,46.20762235242779,28.481078067938157,38.22898755782039,0.0009014285714285451,-22.61643032812931,0.0014029143266233155,15,4,3.7923776475722093,0.03446070164140566,0.0,-0.7071067811865471,-0.7071067811865479,49.66619118924419,-1.0,1.097508396067468,3.4958661188568647,1.0,3.0
USDJPY,BUY,2025-08-21 14:00:00+00:00,2025-08-22 06:15:00+00:00,147.794,148.59285714285716,36.43497476325539,16.25,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.11033274956214582,1.1991698562117927,1.377697316885957,-0.9038080180182249,44.86441329405037,56.47450733286911,56.47450733286911,60.859037621505145,59.339494418045305,44.86441329405037,0.19085714285714467,2.864987085176196,0.001291372740822663,14,4,10.859037621505145,8.562693737264553,1.0,-0.4999999999999997,-0.8660254037844388,53.800052038852826,1.0,6.474507332869109,4.950014076225066,1.0,3.0
XAUUSD,BUY,2025-08-22 03:00:00+00:00,2025-08-22 12:45:00+00:00,3334.146,3324.302,-10.085553821428622,9.75,0,SOFT_ATR_STOP,ASIA,0.3059887979318955,0.8160155931644111,0.07536706061208065,0.4722826330511012,14.785388422592478,38.42745096959053,38.42745096959053,43.5592707817847,50.00100399242635,14.785388422592478,5.745571428571436,11.573553022835817,0.001723251299904514,3,0,6.440729218215303,84.95050528117824,1.0,0.7071067811865476,0.7071067811865476,12.065107503828017,1.0,11.57254903040947,4.524163230385237,1.0,0.0
US30,BUY,2025-08-22 07:00:00+00:00,2025-08-22 13:45:00+00:00,44760.4,45037.41499999999,26.73574071428493,6.75,0,TAKE_PROFIT,OVERLAP_ASIA_EU,0.2988691437802955,0.670309357924892,-4.324483455515555,1.1508566134922873,38.608305444160926,41.21988878375004,41.21988878375004,40.68885861834784,46.11663665721509,38.608305444160926,65.11428571428561,4.896747873465053,0.0014547297547449444,7,3,9.311141381652163,2513.9522316355033,1.0,0.9659258262890683,-0.25881904510252063,25.879508432843622,1.0,8.780111216249963,11.538831190904498,0.0,2.0
XAUUSD,SELL,2025-08-22 14:00:00+00:00,2025-08-22 14:15:00+00:00,3333.702,3358.89,-25.43137717857108,0.25,0,SOFT_ATR_STOP,OVERLAP_EU_US,0.2513030746705835,1.1958189498957044,16.953861683826858,23.970394721122624,32.83087800909716,61.46882791413767,61.46882791413767,50.55698878011158,44.60095913925825,32.83087800909716,5.584785714285739,-16.86786877487942,0.001675250431587988,14,4,0.5569887801115811,183.35341849266365,0.0,-0.4999999999999997,-0.8660254037844388,39.25978606499254,1.0,11.46882791413767,8.250500587820962,1.0,0.0
USDJPY,SELL,2025-08-22 16:00:00+00:00,2025-08-24 21:15:00+00:00,146.824,146.86,-3.0416183537285733,53.25,0,24H_HARD_CUT,US,0.806597379123342,2.404074837482198,-0.2226546302296839,7.612255936320281,33.206298839114716,18.742682453037787,18.742682453037787,22.100910128389145,36.408736649552075,33.206298839114716,0.2931428571428561,17.66605419651429,0.0019965595348366482,16,2,27.899089871610855,9.734189316837593,0.0,-0.8660254037844385,-0.5000000000000004,79.83042748503,1.0,31.257317546962213,26.784113614016402,1.0,3.0
XAUUSD,BUY,2025-08-22 17:00:00+00:00,2025-08-24 22:15:00+00:00,3370.588,3367.608,-3.228315392857161,53.25,0,24H_HARD_CUT,US,0.1643380382347816,2.2436336894063005,1.0576968059592105,-3.2662564928773463,39.19857822640084,71.4614758681394,71.4614758681394,71.50033352728164,64.73557261933972,39.19857822640084,8.893857142857152,-6.725903248799682,0.0026386663522379927,17,2,21.50033352728164,348.62655494871996,1.0,-0.9659258262890683,-0.25881904510252063,87.9472506855812,1.0,21.461475868139402,6.441817447319339,1.0,0.0
XAUUSD,BUY,2025-08-25 01:00:00+00:00,2025-08-25 08:00:00+00:00,3364.886,3367.289357142857,2.161147071428632,7.0,0,TRAILING_BE_EXIT,ASIA,0.31927257075221677,0.7320075980707593,-4.6003830303361255,-1.0865199423379437,52.53589460028497,45.208060914421736,45.208060914421736,61.23343122895756,63.593316961349444,52.53589460028497,8.840285714285724,18.385256046927708,0.002627217003573293,1,0,11.233431228957564,464.4323185221197,1.0,0.25881904510252074,0.9659258262890683,38.45667401885318,-1.0,4.791939085578264,16.773270125800487,1.0,0.0
XAUUSD,BUY,2025-08-25 08:00:00+00:00,2025-08-25 12:15:00+00:00,3366.226,3368.677392857143,4.418077357142671,4.25,0,TRAILING_BE_EXIT,OVERLAP_ASIA_EU,0.21220066421956305,0.6885335623402427,-3.5351043667032442,-6.8894641877806535,51.13530549381834,48.93350966063817,48.93350966063817,59.109603078583376,61.57592803612789,51.13530549381834,4.806714285714309,12.642418375489719,0.001427923819052645,8,3,9.109603078583376,245.792803421502,1.0,0.8660254037844387,-0.4999999999999998,35.208374053015326,-1.0,1.0664903393618275,10.850945790858523,1.0,0.0
USDJPY,SELL,2025-08-25 00:00:00+00:00,2025-08-25 18:30:00+00:00,147.263,147.688,-12.197943618593177,18.5,0,SOFT_ATR_STOP,ASIA,0.7966666666666509,1.0325739833936374,5.652721494027283,7.212690218644973,59.45194704199772,63.241705556620346,63.241705556620346,41.61482872756272,44.07369494043338,59.45194704199772,0.31150000000000333,-19.16801061618697,0.0021152631686167152,0,0,8.385171272437283,18.519281503582487,0.0,0.0,1.0,61.38853377766316,-1.0,13.241705556620346,47.36338447679058,1.0,3.0
