symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio,f_is_buy,f_hour_sin,f_hour_cos,f_adx_x_atrratio,f_rsi_align,f_rsi_extreme,f_trendiness,f_h4_bias_agree,f_asset_class
XAUUSD,BUY,2023-08-22 05:00:00+00:00,2023-08-22 08:30:00+00:00,1893.915,1899.4650571428572,10.543204428571569,3.5,0,TRAILING_BE_EXIT,ASIA,0.32923692483567757,1.080511450213129,-2.9906911853371483,-14.66213396412946,16.692694320486662,41.90536812668175,41.90536812668175,37.10553157232066,20.659581271152547,16.692694320486662,2.483142857142866,-21.245786855529204,0.00131111631574958,5,0,12.894468427679342,41.450344668385746,1.0,0.9659258262890683,0.25881904510252074,18.036647348193505,1.0,8.09463187331825,5.495851345299009,0.0,0.0
US30,SELL,2023-08-22 04:00:00+00:00,2023-08-22 09:45:00+00:00,34461.5,34560.9,-10.646212142857289,5.75,0,SOFT_ATR_STOP,ASIA,0.14480408858603785,0.5130615400299355,1.3924596716573276,-0.27452964179401107,26.54375358582223,53.56669857854848,53.56669857854848,41.9687230239074,74.78988710010182,26.54375358582223,75.00714285714328,21.22318852155334,0.0021765489853065967,4,0,8.031276976092599,1990.9711171765773,0.0,0.8660254037844386,0.5000000000000001,13.618579092917077,-1.0,3.5666985785484826,3.843644045647362,0.0,2.0
NZDUSD,SELL,2023-08-22 15:00:00+00:00,2023-08-22 19:45:00+00:00,0.59408,0.5933689285714286,0.49106858428569383,4.75,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.284046692606996,1.45249487354751,7.618407097391639,7.191590402227789,48.90421683848349,45.3893158371706,45.3893158371706,47.439294047794775,79.57242812808026,48.90421683848349,0.0015657142857142734,34.18311229090966,0.0026355276826593613,15,4,2.5607059522052253,0.07657003093568213,0.0,-0.7071067811865471,-0.7071067811865479,71.0331242527531,1.0,4.610684162829401,13.891081047506598,0.0,3.0
AUDUSD,SELL,2023-08-22 14:00:00+00:00,2023-08-23 00:45:00+00:00,0.64102,0.64352,-13.600011221428307,10.75,0,SOFT_ATR_STOP,OVERLAP_EU_US,0.591836734693849,1.4024741426891616,-6.791085863607115,-12.919434969409835,35.81378577201748,30.089761227727237,30.089761227727237,41.25382848947829,72.31556683851349,35.81378577201748,0.0016728571428571426,42.22580561078625,0.002609680108042093,14,4,8.746171510521712,0.05991134734147495,0.0,-0.4999999999999997,-0.8660254037844388,50.22790849706351,1.0,19.910238772272763,21.195914028335856,0.0,3.0
XAUUSD,SELL,2023-08-23 01:00:00+00:00,2023-08-23 05:45:00+00:00,1898.966,1903.822,-15.402485999999984,4.75,0,SOFT_ATR_STOP,ASIA,0.2487046632123372,0.4057969207235959,1.0721061185445535,-8.139512128152127,26.963389410734113,58.14057319065622,58.14057319065622,50.740328494430344,29.1198811467425,26.963389410734113,2.878857142857117,-29.02069204391372,0.0015160130001575158,1,0,0.7403284944303437,77.62374620072984,0.0,0.25881904510252074,0.9659258262890683,10.941660395147116,1.0,8.14057319065622,6.705920682459727,1.0,0.0
US30,SELL,2023-08-22 20:00:00+00:00,2023-08-23 07:15:00+00:00,34305.4,34422.5,-11.17467899999987,11.25,0,SOFT_ATR_STOP,US,0.012765957446803021,1.6418056598230897,-0.9106402645523843,-8.861735323425897,41.42364162582374,43.10870040903283,43.10870040903283,31.147805444538648,61.77209735813482,41.42364162582374,73.87142857142888,18.663396949101994,0.0021533469532909943,20,2,18.852194555461352,3060.0235835305066,0.0,-0.8660254037844386,0.5000000000000001,68.00956927176075,1.0,6.891299590967172,0.5288124462868842,0.0,2.0
XAUUSD,SELL,2023-08-23 06:00:00+00:00,2023-08-23 11:00:00+00:00,1902.579,1901.559392857143,3.707741607142204,5.0,0,TRAILING_BE_EXIT,ASIA,0.3353551476456511,0.7454417352303429,-2.049746412431375,-12.295162074202047,27.600575351183245,60.4944454726053,60.4944454726053,57.435402975294814,34.280764298333864,27.600575351183245,1.8165714285714298,-26.213681174271436,0.0009547942180437342,6,0,7.435402975294814,50.138416595092345,0.0,1.0,6.123233995736766e-17,20.574620783141867,1.0,10.4944454726053,9.255995022000976,1.0,0.0
XAUUSD,BUY,2023-08-23 11:00:00+00:00,2023-08-23 13:00:00+00:00,1903.224,1905.2974571428572,5.384340642857466,2.0,0,TRAILING_BE_EXIT,EUROPE,0.09377504675393915,1.1780624568038565,1.6213548736648136,4.8399252010283575,45.42644942164653,52.52706009276452,52.52706009276452,57.75915307552065,37.594924620859324,45.42644942164653,2.0392142857142352,-14.932135471905198,0.001071452590821803,11,1,7.759153075520651,92.63426460989676,1.0,0.258819045102521,-0.9659258262890682,53.515194609541034,1.0,2.527060092764522,4.259867418380355,0.0,0.0
US30,SELL,2023-08-23 08:00:00+00:00,2023-08-23 13:30:00+00:00,34396.5,34351.90571428571,3.753186428571583,5.5,0,TRAILING_BE_EXIT,OVERLAP_ASIA_EU,0.042446941323364754,0.8074688334253287,1.3987736529827046,-13.345652733226096,35.09360951747328,52.406048430019986,52.406048430019986,47.794879835231384,64.62925646488412,35.09360951747328,41.55000000000031,12.223208034864136,0.0012079717413108983,8,3,2.2051201647686156,1458.1394754510259,0.0,0.8660254037844387,-0.4999999999999998,28.336995937758164,-1.0,2.406048430019986,1.4896163840132632,0.0,2.0
XAUUSD,BUY,2023-08-23 19:00:00+00:00,2023-08-24 00:00:00+00:00,1916.639,1918.4240714285713,1.5047162142857131,5.0,0,TRAILING_BE_EXIT,US,0.5110701107011173,0.8233756460385767,-3.51906470406756,-2.3164132383168905,63.23807259236461,57.005483602340064,57.005483602340064,68.7680215786621,55.8839255235609,63.23807259236461,3.6259285714285494,-1.1215580787791666,0.001891816127830306,19,2,18.7680215786621,229.2967342147275,1.0,-0.9659258262890684,0.2588190451025203,52.06868887497262,1.0,7.005483602340064,32.31908876030507,1.0,0.0
