Ticket ID,Open Time,Close Time,Symbol,Type,Base Price (Open),Avg Entry Price,Close Price,Base Lot Size,Total Lot Size,DCA Layers,Profit (USD),Close Reason
1,2025-12-22 02:00:00 UTC,2025-12-22 05:45:00 UTC,XAUUSD,BUY,4382.87,4382.87,4406.36,0.02,0.02,0,46.99,TAKE_PROFIT
2,2025-12-22 07:00:00 UTC,2025-12-22 10:45:00 UTC,XAUUSD,BUY,4419.11,4419.11,4409.0,0.02,0.02,0,-20.22,ML_VETO_CLOSE
3,2025-12-22 13:00:00 UTC,2025-12-22 15:00:00 UTC,XAUUSD,BUY,4415.57,4415.57,4419.18,0.02,0.02,0,7.21,ML_VETO_CLOSE
4,2025-12-23 00:00:00 UTC,2025-12-23 01:15:00 UTC,XAUUSD,BUY,4460.24,4460.24,4484.15,0.02,0.02,0,47.81,TAKE_PROFIT
5,2025-12-23 04:00:00 UTC,2025-12-23 14:45:00 UTC,XAUUSD,BUY,4486.86,4477.39,4452.96,0.02,0.04,1,-97.71,ML_VETO_CLOSE
6,2026-01-13 00:00:00 UTC,2026-01-13 03:15:00 UTC,XAUUSD,BUY,4599.37,4599.37,4598.03,0.02,0.02,0,-2.68,ML_VETO_CLOSE
7,2026-01-14 04:00:00 UTC,2026-01-14 06:00:00 UTC,XAUUSD,BUY,4628.24,4628.24,4619.82,0.02,0.02,0,-16.83,ML_VETO_CLOSE
8,2026-01-20 09:00:00 UTC,2026-01-20 12:30:00 UTC,XAUUSD,BUY,4729.23,4729.23,4726.69,0.02,0.02,0,-5.08,ML_VETO_CLOSE
9,2026-01-20 17:00:00 UTC,2026-01-21 00:45:00 UTC,XAUUSD,BUY,4753.63,4753.63,4785.15,0.02,0.02,0,63.03,TAKE_PROFIT
10,2026-01-21 14:00:00 UTC,2026-01-21 15:00:00 UTC,XAUUSD,BUY,4879.4,4863.98,4852.15,0.02,0.04,1,-47.34,ML_VETO_CLOSE
11,2026-01-26 06:00:00 UTC,2026-01-26 07:30:00 UTC,XAUUSD,BUY,5074.3,5074.3,5095.3,0.02,0.02,0,42.01,ML_VETO_CLOSE
12,2026-01-29 01:00:00 UTC,2026-01-29 06:15:00 UTC,XAUUSD,BUY,5520.3,5484.18,5583.17,0.02,0.04,1,395.94,TAKE_PROFIT
13,2026-01-30 21:00:00 UTC,2026-02-01 23:45:00 UTC,XAUUSD,SELL,4847.95,4847.95,4774.57,0.02,0.02,0,146.77,ML_VETO_CLOSE
14,2026-02-02 01:00:00 UTC,2026-02-02 01:15:00 UTC,XAUUSD,SELL,4766.98,4766.98,4772.69,0.02,0.02,0,-11.44,BREAK_EVEN
15,2026-02-02 03:00:00 UTC,2026-02-02 06:30:00 UTC,XAUUSD,SELL,4711.05,4711.05,4468.16,0.03,0.03,0,728.66,TAKE_PROFIT
16,2026-02-02 16:00:00 UTC,2026-02-02 20:00:00 UTC,XAUUSD,SELL,4619.98,4619.98,4685.39,0.02,0.02,0,-130.82,ML_VETO_CLOSE
17,2026-03-03 15:00:00 UTC,2026-03-03 19:00:00 UTC,XAUUSD,SELL,5038.14,5084.44,5136.08,0.02,0.04,1,-206.57,ML_VETO_CLOSE
